Probe	Chromosome	Position	Feature	SampleA	SampleB
CHR0100P034770864	1	34770864	BC043098	0.18220079128668923	5.764839668930681
CHR0100P034800710	1	34800710	Plekhb2	32.15579683381446	0.9195251518195133
CHR0100P035998277	1	35998277	Ugcgl1	0.3599396507574488	37.340822619632505
CHR0100P036007664	1	36007664	Ugcgl1	0.5844930236665566	21.106639663671192
CHR0100P036013597	1	36013597	Ugcgl1	24.82318702533215	1.0832495328632883
CHR0100P036025078	1	36025078	Ugcgl1	56.317550506630056	0.6102632388796612
CHR0100P036033737	1	36033737	Ugcgl1	9.36402802953222	1.0514433957948295
CHR0100P036059676	1	36059676	Ugcgl1	0.4634550116002439	11.053131874930001
CHR0100P036083815	1	36083815	Ugcgl1	1.3360608913044811	12.540962958069544
CHR0100P036096125	1	36096125	Ugcgl1	14.469644052747213	1.2653046819145792
CHR0100P036291955	1	36291955	4632411B12Rik	0.6948872060090612	9.214380758050275
CHR0100P036305762	1	36305762	4632411B12Rik	22.54473785373096	0.8673856299050837
CHR0100P036415379	1	36415379	Cnnm4	12.168739985580231	0.930728833645026
CHR0100P036602959	1	36602959	BC050210	12.971525145736678	1.0329600595460693
CHR0100P036748498	1	36748498	Tmem131	12.692108842178062	1.1051550689163085
CHR0100P036805591	1	36805591	Tmem131	0.9621388428517914	22.428280621419926
CHR0100P036905026	1	36905026	LOC639471	0.30977646009553683	5.721526073326272
CHR0100P037102223	1	37102223	4921511C04Rik	0.8841718861816179	16.614927240153374
CHR0100P037392673	1	37392673	Mgat4a	1.6596675459596324	27.7863912099369
CHR0100P037437832	1	37437832	Mgat4a	0.5719500100071438	5.9121534006658
CHR0100P037770393	1	37770393	Tsga10	1.1260818841666902	9.5932683735478
CHR0100P037835104	1	37835104	Mrpl30	0.46149226387375136	18.329171757146746
CHR0100P037935745	1	37935745	Txndc9	24.53570376667582	1.1218654867476954
CHR0100P037962330	1	37962330	Eif5b	1.4603609674824993	17.028369331182876
CHR0100P038007809	1	38007809	Rev1	5.861269940450735	0.3040862403045013
CHR0100P038041623	1	38041623	Rev1	0.46417327066154973	4.3411399975906315
CHR0100P038194924	1	38194924	Aff3	0.4529522207285734	26.976419545330668
CHR0100P038274356	1	38274356	Aff3	0.3868478792668809	22.5806799229026
CHR0100P038366561	1	38366561	Aff3	11.412914763966539	0.5744782627989888
CHR0100P038423409	1	38423409	Aff3	0.8492342503581498	8.34363460598393
CHR0100P038510380	1	38510380	Aff3	12.04845242802603	0.28379925196713884
CHR0100P038604929	1	38604929	Aff3	1.1763307932210723	32.543867303669295
