Accession	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	Description
NM_005368	385	723	921	42	983	410	394	85	277	844	Myoglobin. [Source:Uniprot/SWISSPROT;Acc:P02144]
NM_006604	415	284	237	277	209	495	195	526	422	10	Ret finger protein-like 3. [Source:Uniprot/SWISSPROT;Acc:O75679]
NM_014246	86	839	625	665	257	124	761	129	714	813	Cadherin EGF LAG seven-pass G-type receptor 1 precursor (Flamingo homolog 2) (hFmi2). [Source:Uniprot/SWISSPROT;Acc:Q9NYQ6]
NM_012399	681	910	242	136	442	98	287	96	505	392	Phosphatidylinositol transfer protein beta isoform (PtdIns transfer protein beta) (PtdInsTP) (PI-TP-beta). [Source:Uniprot/SWISSPROT;Acc:P48739]
NR_002198	13	925	501	425	442	295	716	934	72	71	Hsc70-interacting protein (Hip) (Putative tumor suppressor ST13) (Progesterone receptor-associated p48 protein). [Source:Uniprot/SWISSPROT;Acc:P50502]
NM_004914	955	796	900	891	937	464	233	341	883	835	Ras-related protein Rab-36. [Source:Uniprot/SWISSPROT;Acc:O95755]
NM_203377	206	23	444	81	421	285	637	477	589	897	Myoglobin. [Source:Uniprot/SWISSPROT;Acc:P02144]
NM_001032364	935	746	604	461	171	973	951	823	420	596	Gamma-glutamyltranspeptidase 1 precursor (EC 2.3.2.2) (Gamma- glutamyltransferase 1) (CD224 antigen) [Contains: Gamma- glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]. [Source:Uniprot/SWISSPROT;Acc:P19440]
NM_004810	838	283	498	522	983	874	248	892	444	493	GRB2-related adaptor protein 2 (GADS protein) (Growth factor receptor binding protein) (GRBLG) (Grf40 adaptor protein) (Grf-40) (GRB-2-like protein) (GRB2L) (GRBX) (P38) (Hematopoietic cell-associated adaptor protein GrpL) (Adapter protein GRID) (SH3-SH2- [Source:Uniprot/SWISSPROT;Acc:O75791]
NM_002305	272	523	402	171	246	576	311	256	499	452	Galectin-1 (Beta-galactoside-binding lectin L-14-I) (Lactose-binding lectin 1) (S-Lac lectin 1) (Galaptin) (14 kDa lectin) (HPL) (HBL) (Putative MAPK-activating protein MP12). [Source:Uniprot/SWISSPROT;Acc:P09382]
NM_152236	312	795	990	473	320	889	361	368	695	319	GAS2-like protein 1 (Growth arrest-specific 2-like 1) (GAS2-related protein on chromosome 22) (GAR22 protein). [Source:Uniprot/SWISSPROT;Acc:Q99501]
NM_032608	200	97	895	201	183	42	23	971	258	101	Myosin-18B (Myosin XVIIIb). [Source:Uniprot/SWISSPROT;Acc:Q8IUG5]
NM_012143	678	471	506	711	998	418	856	338	331	44	Tuftelin-interacting protein 11. [Source:Uniprot/SWISSPROT;Acc:Q9UBB9]
NM_000487	299	456	411	176	761	555	463	553	291	205	Arylsulfatase A precursor (EC 3.1.6.8) (ASA) (Cerebroside-sulfatase) [Contains: Arylsulfatase A component B; Arylsulfatase A component C]. [Source:Uniprot/SWISSPROT;Acc:P15289]
NM_002676	137	646	714	708	678	770	424	365	241	772	Phosphomannomutase 1 (EC 5.4.2.8) (PMM 1) (PMMH-22). [Source:Uniprot/SWISSPROT;Acc:Q92871]
NM_005446	446	904	751	71	443	74	222	330	823	967	P2X purinoceptor 6 (ATP receptor) (P2X6) (Purinergic receptor) (P2XM) (Purinergic receptor P2X-like 1). [Source:Uniprot/SWISSPROT;Acc:O15547]
NM_133642	932	545	592	77	372	834	118	632	367	704	Glycosyltransferase-like protein LARGE (EC 2.4.-.-) (Acetylglucosaminyltransferase-like protein). [Source:Uniprot/SWISSPROT;Acc:O95461]
NM_013416	457	238	270	74	404	357	653	842	916	659	Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (p40-phox) (p40phox). [Source:Uniprot/SWISSPROT;Acc:Q15080]
NM_174975	387	274	72	767	513	999	222	441	832	880	SEC14-like protein 3 (Tocopherol-associated protein 2). [Source:Uniprot/SWISSPROT;Acc:Q9UDX4]
NM_004173	479	720	594	565	214	60	212	968	713	999	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4 [Source:RefSeq_peptide;Acc:NP_004164]
NM_001013440	395	498	643	373	618	279	491	628	319	175	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2) (MST). [Source:Uniprot/SWISSPROT;Acc:P25325]
NM_002133	634	244	744	880	180	813	844	862	266	799	Heme oxygenase 1 (EC 1.14.99.3) (HO-1). [Source:Uniprot/SWISSPROT;Acc:P09601]
NM_003678	120	448	936	508	831	815	279	305	477	184	Protein C22orf19 (NF2/meningioma region protein pK1.3) (Placental protein 39.2). [Source:Uniprot/SWISSPROT;Acc:Q13769]
NM_014433	977	607	944	997	908	677	238	343	979	762	Rhabdoid tumor deletion region protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9UHP6]
NM_017929	202	434	835	600	126	397	592	822	655	178	Peroxisome assembly protein 26 (Peroxin-26). [Source:Uniprot/SWISSPROT;Acc:Q7Z412]
NM_001024939	276	290	906	819	88	900	188	912	187	869	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (Glucose transporter type 10). [Source:Uniprot/SWISSPROT;Acc:Q9BYW1]
NM_002854	249	494	126	64	441	172	596	369	716	756	Parvalbumin alpha. [Source:Uniprot/SWISSPROT;Acc:P20472]
NM_001097	652	656	863	188	57	363	877	42	914	230	Acrosin precursor (EC 3.4.21.10) [Contains: Acrosin light chain; Acrosin heavy chain]. [Source:Uniprot/SWISSPROT;Acc:P10323]
NM_032758	889	367	236	215	544	184	610	121	239	381	PHD finger-like domain protein 5A (Splicing factor 3B associated 14 kDa protein) (SF3b14b). [Source:Uniprot/SWISSPROT;Acc:Q7RTV0]
NM_031910	617	965	137	317	155	634	343	896	332	828	Complement C1q tumor necrosis factor-related protein 6 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9BXI9]
NM_021822	172	410	75	862	893	916	121	322	875	435	DNA dC->dU editing enzyme APOBEC-3G (EC 3.5.4.-) (APOBEC-related cytidine deaminase) (ARCD) (APOBEC-related protein) (ARP-9) (CEM15) (CEM-15). [Source:Uniprot/SWISSPROT;Acc:Q9HC16]
NM_181829	531	129	520	759	411	28	917	141	959	52	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_033257	592	651	527	963	283	475	840	236	141	952	DGCR6L protein (DiGeorge syndrome critical region 6-like protein). [Source:Uniprot/SWISSPROT;Acc:Q9BY27]
NM_058238	20	586	254	609	596	590	915	0	126	427	Wnt-7b protein precursor. [Source:Uniprot/SWISSPROT;Acc:P56706]
NM_001003689	525	604	611	267	553	588	347	342	441	695	Lethal(3)malignant brain tumor-like 2 protein (L(3)mbt-like 2 protein) (H-l(3)mbt-like protein). [Source:Uniprot/SWISSPROT;Acc:Q969R5]
NM_003312	372	230	884	58	161	388	361	201	739	448	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese). [Source:Uniprot/SWISSPROT;Acc:Q16762]
NM_032644	355	26	848	333	144	58	343	705	582	729	Peroxisome proliferator activated receptor alpha (PPAR-alpha). [Source:Uniprot/SWISSPROT;Acc:Q07869]
NM_003560	456	780	768	983	102	48	24	995	872	922	85 kDa calcium-independent phospholipase A2 (EC 3.1.1.4) (iPLA2) (CaI- PLA2) (Group VI phospholipase A2) (GVI PLA2). [Source:Uniprot/SWISSPROT;Acc:O60733]
NM_134269	63	256	867	850	784	845	40	922	574	131	Smoothelin. [Source:Uniprot/SWISSPROT;Acc:P53814]
NM_014508	191	502	537	715	284	916	554	872	225	729	Probable DNA dC->dU editing enzyme APOBEC-3C (EC 3.5.4.-) (APOBEC1- like) (Phorbolin I protein). [Source:Uniprot/SWISSPROT;Acc:Q9NRW3]
NM_021126	578	298	773	642	73	413	734	534	0	27	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2) (MST). [Source:Uniprot/SWISSPROT;Acc:P25325]
NM_181831	94	695	259	641	246	761	993	161	968	403	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_006767	659	309	318	287	270	516	77	336	727	571	Leucine-zipper-like transcriptional regulator 1 (LZTR-1). [Source:Uniprot/SWISSPROT;Acc:Q8N653]
NM_004782	933	840	621	811	21	429	442	139	17	442	Synaptosomal-associated protein 29 (SNAP-29) (Vesicle-membrane fusion protein SNAP-29) (Soluble 29 kDa NSF attachment protein). [Source:Uniprot/SWISSPROT;Acc:O95721]
NM_006953	582	637	403	739	40	72	88	468	243	59	Uroplakin-3A precursor (Uroplakin III) (UPIII). [Source:Uniprot/SWISSPROT;Acc:O75631]
NM_005160	31	826	881	183	19	348	170	838	257	752	Beta-adrenergic receptor kinase 2 (EC 2.7.1.126) (Beta-ARK-2) (G- protein coupled receptor kinase 3). [Source:Uniprot/SWISSPROT;Acc:P35626]
NM_152510	438	79	938	873	456	274	428	713	406	813	HORMA domain containing 2 [Source:RefSeq_peptide;Acc:NP_689723]
NM_006486	245	144	898	685	470	293	945	178	757	135	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
NM_032045	296	503	596	341	40	611	979	886	881	992	Kremen protein 1 precursor (Kringle-containing protein marking the eye and the nose) (Dickkopf receptor). [Source:Uniprot/SWISSPROT;Acc:Q96MU8]
NM_001001929	137	478	992	730	494	317	863	602	500	223	Peroxisome proliferator activated receptor alpha (PPAR-alpha). [Source:Uniprot/SWISSPROT;Acc:Q07869]
NM_000343	29	496	490	670	110	937	248	747	46	996	Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter). [Source:Uniprot/SWISSPROT;Acc:P13866]
NM_014550	397	580	947	358	309	255	465	852	661	760	Caspase recruitment domain protein 10 (CARD-containing MAGUK protein 3) (Carma 3). [Source:Uniprot/SWISSPROT;Acc:Q9BWT7]
NM_001018050	80	197	309	986	228	262	636	319	652	615	DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide (EC 2.7.7.6) (RPC8). [Source:Uniprot/SWISSPROT;Acc:Q9Y535]
NM_015703	24	844	908	651	608	707	412	66	969	653	Gastric cancer antigen Zg14. [Source:Uniprot/SWISSPROT;Acc:Q9Y3A4]
NM_014339	945	966	932	278	21	399	100	31	15	577	Interleukin-17 receptor precursor (IL-17 receptor). [Source:Uniprot/SWISSPROT;Acc:Q96F46]
NM_000878	310	482	477	580	647	902	513	820	179	682	Interleukin-2 receptor beta chain precursor (IL-2 receptor) (P70-75) (High affinity IL-2 receptor beta subunit) (CD122 antigen). [Source:Uniprot/SWISSPROT;Acc:P14784]
NM_001469	663	41	72	618	166	151	233	596	26	648	ATP-dependent DNA helicase II, 70 kDa subunit (Lupus Ku autoantigen protein p70) (Ku70) (70 kDa subunit of Ku antigen) (Thyroid-lupus autoantigen) (TLAA) (CTC box binding factor 75 kDa subunit) (CTCBF) (CTC75). [Source:Uniprot/SWISSPROT;Acc:P12956]
NM_000967	150	714	778	936	69	360	375	305	179	289	60S ribosomal protein L3 (HIV-1 TAR RNA binding protein B) (TARBP-B). [Source:Uniprot/SWISSPROT;Acc:P39023]
NM_006478	84	859	954	224	810	171	307	11	747	954	GAS2-like protein 1 (Growth arrest-specific 2-like 1) (GAS2-related protein on chromosome 22) (GAR22 protein). [Source:Uniprot/SWISSPROT;Acc:Q99501]
NM_020070	720	867	769	512	993	741	463	273	785	335	Immunoglobulin lambda-like polypeptide 1 precursor (Immunoglobulin- related 14.1 protein) (Immunoglobulin omega polypeptide) (Lambda 5) (CD179b antigen). [Source:Uniprot/SWISSPROT;Acc:P15814]
NM_001002837	208	170	587	792	208	162	296	613	897	663	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.56). [Source:Uniprot/SWISSPROT;Acc:Q15735]
NM_003347	38	805	594	178	400	812	850	909	726	252	Ubiquitin-conjugating enzyme E2 L3 (EC 6.3.2.19) (Ubiquitin-protein ligase L3) (Ubiquitin carrier protein L3) (UbcH7) (E2-F1) (L-UBC). [Source:Uniprot/SWISSPROT;Acc:P68036]
NM_002430	360	623	637	987	874	568	420	569	987	700	Probable tumor suppressor protein MN1. [Source:Uniprot/SWISSPROT;Acc:Q10571]
NM_182527	460	579	244	21	356	906	433	302	880	481	Calcium-binding protein 7 (CaBP7). [Source:Uniprot/SWISSPROT;Acc:Q86V35]
NM_018957	505	966	449	509	999	423	237	728	399	636	SH3-domain-binding protein 1 (3BP-1). [Source:Uniprot/SWISSPROT;Acc:Q9Y3L3]
NM_005318	622	720	316	189	89	815	911	654	265	610	Histone H1.0 (H1(0)) (Histone H1'). [Source:Uniprot/SWISSPROT;Acc:P07305]
NM_198856	458	523	239	639	452	500	816	229	181	425	CAP-binding protein complex interacting protein 1 isoform a [Source:RefSeq_peptide;Acc:NP_073622]
NM_152267	873	63	151	611	465	490	286	886	835	111	ring finger protein 185 [Source:RefSeq_peptide;Acc:NP_689480]
NM_005940	291	104	994	668	107	423	18	779	849	122	Stromelysin-3 precursor (EC 3.4.24.-) (Matrix metalloproteinase-11) (MMP-11) (ST3) (SL-3). [Source:Uniprot/SWISSPROT;Acc:P24347]
NM_153497	725	531	127	238	882	482	180	809	607	92	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1 (TAK1-binding protein 1). [Source:Uniprot/SWISSPROT;Acc:Q15750]
NM_133633	709	2	106	117	817	904	424	994	970	267	Synapsin-3 (Synapsin III). [Source:Uniprot/SWISSPROT;Acc:O14994]
NM_003405	347	756	389	969	122	505	759	501	145	963	14-3-3 protein eta (Protein AS1). [Source:Uniprot/SWISSPROT;Acc:Q04917]
NM_005659	683	231	273	154	776	748	933	731	810	58	Ubiquitin fusion degradation protein 1 homolog (UB fusion protein 1). [Source:Uniprot/SWISSPROT;Acc:Q92890]
NM_002650	651	981	810	912	190	54	514	56	940	419	Phosphatidylinositol 4-kinase alpha (EC 2.7.1.67) (PI4-kinase) (PtdIns-4-kinase) (PI4K-alpha). [Source:Uniprot/SWISSPROT;Acc:P42356]
NM_002058	100	670	705	116	590	793	569	795	826	4	Gamma-glutamyltranspeptidase 1 precursor (EC 2.3.2.2) (Gamma- glutamyltransferase 1) (CD224 antigen) [Contains: Gamma- glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]. [Source:Uniprot/SWISSPROT;Acc:P19440]
NM_014634	973	107	442	143	669	458	720	361	714	665	Ca(2+)/calmodulin-dependent protein kinase phosphatase (EC 3.1.3.16) (CaM-kinase phosphatase) (CaMKPase) (Partner of PIX 2) (hFEM-2) (Protein phosphatase 1F). [Source:Uniprot/SWISSPROT;Acc:P49593]
NM_032051	752	262	149	540	804	442	521	942	287	185	Zinc finger protein 278 (POZ-, AT hook-, and zinc finger-containing protein) (Zinc finger sarcoma gene protein) (BTB-POZ domain zinc finger transcription factor) (Protein kinase A RI-alpha subunit- associated protein) (Zinc finger and BTB domain containin [Source:Uniprot/SWISSPROT;Acc:Q9HBE1]
NM_001008695	911	324	256	609	623	297	821	46	178	259	THAP domain protein 7. [Source:Uniprot/SWISSPROT;Acc:Q9BT49]
NM_004147	397	921	787	608	186	931	949	579	802	793	Developmentally regulated GTP-binding protein 1 (DRG 1). [Source:Uniprot/SWISSPROT;Acc:Q9Y295]
NM_148175	330	221	449	345	586	566	543	283	272	507	Peptidyl-prolyl cis-trans isomerase-like 2 (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60). [Source:Uniprot/SWISSPROT;Acc:Q13356]
NM_015889	212	313	517	421	547	2	597	63	39	103	Positive cofactor 2 glutamine/Q-rich-associated protein (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a). [Source:Uniprot/SWISSPROT;Acc:Q96RN5]
NM_030642	72	774	89	647	652	520	6	570	433	807	Apolipoprotein-L5 (Apolipoprotein L-V) (ApoL-V). [Source:Uniprot/SWISSPROT;Acc:Q9BWW9]
NM_014662	401	165	668	990	374	134	726	16	413	533	DEP domain containing protein 5. [Source:Uniprot/SWISSPROT;Acc:O75140]
NM_003325	401	130	396	372	218	580	617	173	902	835	HIRA protein (TUP1-like enhancer of split protein 1). [Source:Uniprot/SWISSPROT;Acc:P54198]
NM_001996	236	245	657	373	52	984	416	551	24	945	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
NM_001024843	723	591	422	4	394	221	33	364	615	1	Trinucleotide repeat-containing 6B protein. [Source:Uniprot/SWISSPROT;Acc:Q9UPQ9]
NM_012429	328	695	644	848	975	197	755	826	637	852	SEC14-like protein 2 (Alpha-tocopherol associated protein) (TAP) (hTAP) (Supernatant protein factor) (SPF) (Squalene transfer protein). [Source:Uniprot/SWISSPROT;Acc:O76054]
NM_012324	598	689	430	661	620	248	968	137	706	67	C-jun-amino-terminal kinase interacting protein 2 (JNK-interacting protein 2) (JIP-2) (JNK MAP kinase scaffold protein 2) (Islet-brain-2) (IB-2) (Mitogen-activated protein kinase 8-interacting protein 2). [Source:Uniprot/SWISSPROT;Acc:Q13387]
NM_052839	395	843	700	533	305	245	956	819	963	676	Pannexin-2. [Source:Uniprot/SWISSPROT;Acc:Q96RD6]
NM_020461	581	788	735	681	521	355	120	530	150	341	Gamma-tubulin complex component 6 (GCP-6). [Source:Uniprot/SWISSPROT;Acc:Q96RT7]
NM_006860	313	177	523	357	674	443	929	742	48	722	Putative GTP-binding protein RAY-like (Rab-like protein 4). [Source:Uniprot/SWISSPROT;Acc:Q9BW83]
NM_145344	932	90	302	961	528	393	19	227	586	343	Apolipoprotein-L1 precursor (Apolipoprotein L-I) (Apolipoprotein L) (ApoL-I) (Apo-L) (ApoL). [Source:Uniprot/SWISSPROT;Acc:O14791]
NM_033016	731	617	233	803	611	807	331	1	31	21	Platelet-derived growth factor B chain precursor (PDGF B-chain) (Platelet-derived growth factor beta polypeptide) (PDGF-2) (c-sis) (Becaplermin). [Source:Uniprot/SWISSPROT;Acc:P01127]
NM_022727	709	464	879	690	297	229	52	593	833	359	HpaII tiny fragments locus 9c protein. [Source:Uniprot/SWISSPROT;Acc:Q8IZ69]
NM_001013694	36	757	285	297	963	901	651	89	66	697	SRR1-like protein. [Source:Uniprot/SWISSPROT;Acc:Q9UH36]
NM_206955	293	12	935	640	460	625	466	795	157	791	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]
NM_005487	940	224	15	688	103	342	322	350	678	17	High-mobility group protein 2-like 1 (HMGBCG protein). [Source:Uniprot/SWISSPROT;Acc:Q9UGU5]
NM_001032365	863	758	206	669	736	23	623	170	795	692	Gamma-glutamyltranspeptidase 1 precursor (EC 2.3.2.2) (Gamma- glutamyltransferase 1) (CD224 antigen) [Contains: Gamma- glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]. [Source:Uniprot/SWISSPROT;Acc:P19440]
NM_013986	479	808	869	698	206	105	433	990	340	776	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein). [Source:Uniprot/SWISSPROT;Acc:Q01844]
NM_018995	860	388	109	601	936	665	283	488	781	421	Potential helicase Mov10l1 (EC 3.6.1.-) (Moloney leukemia virus 10- like protein 1) (MOV10-like 1). [Source:Uniprot/SWISSPROT;Acc:Q9BXT6]
NM_013385	697	527	830	751	364	290	39	258	562	184	Cytohesin-4. [Source:Uniprot/SWISSPROT;Acc:Q9UIA0]
NM_005984	967	432	821	117	890	931	205	277	605	792	Tricarboxylate transport protein, mitochondrial precursor (Citrate transport protein) (CTP) (Tricarboxylate carrier protein). [Source:Uniprot/SWISSPROT;Acc:P53007]
NM_031488	805	284	84	110	833	518	619	201	247	890	Lethal(3)malignant brain tumor-like 2 protein (L(3)mbt-like 2 protein) (H-l(3)mbt-like protein). [Source:Uniprot/SWISSPROT;Acc:Q969R5]
NM_004711	638	800	287	843	828	312	848	858	728	649	Synaptogyrin-1. [Source:Uniprot/SWISSPROT;Acc:O43759]
NM_197967	90	261	455	693	186	591	708	896	625	330	BH3 interacting domain death agonist (BID). [Source:Uniprot/SWISSPROT;Acc:P55957]
NM_032311	710	80	962	261	254	934	438	250	493	260	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46). [Source:Uniprot/SWISSPROT;Acc:Q9BY77]
NM_080764	358	717	639	501	656	589	231	566	526	19	Suppressor of hairy wing homolog 2 (5'OY11.1) (Zinc finger protein 632). [Source:Uniprot/SWISSPROT;Acc:Q86YH2]
NM_001007468	119	500	547	630	830	16	202	601	460	437	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily B member 1 (Integrase interactor 1 protein) (hSNF5) (BAF47). [Source:Uniprot/SWISSPROT;Acc:Q12824]
NM_030644	190	341	762	60	448	55	578	488	279	977	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_013327	269	960	506	542	310	193	43	298	694	798	Beta-parvin (Affixin). [Source:Uniprot/SWISSPROT;Acc:Q9HBI1]
NM_004599	797	822	309	768	306	423	942	100	26	924	Sterol regulatory element binding protein 2 (SREBP-2) (Sterol regulatory element-binding transcription factor 2). [Source:Uniprot/SWISSPROT;Acc:Q12772]
NM_006116	63	50	655	295	58	91	425	421	41	62	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1 (TAK1-binding protein 1). [Source:Uniprot/SWISSPROT;Acc:Q15750]
NM_022785	744	784	937	578	115	346	958	204	720	408	CAP-binding protein complex interacting protein 1 isoform a [Source:RefSeq_peptide;Acc:NP_073622]
NM_000395	154	446	592	727	175	71	771	680	922	797	Cytokine receptor common beta chain precursor (GM-CSF/IL-3/IL-5 receptor common beta-chain) (CD131 antigen) (CDw131 antigen). [Source:Uniprot/SWISSPROT;Acc:P32927]
NM_152245	346	744	217	892	806	83	174	693	592	517	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_015653	413	598	254	664	770	545	139	517	674	516	RIB43A domain with coiled-coils 2 [Source:RefSeq_peptide;Acc:NP_056468]
NM_173050	987	261	829	108	375	595	378	678	376	346	signal peptide-CUB domian-EGF-related 1 [Source:RefSeq_peptide;Acc:NP_766638]
NM_001003692	185	118	382	651	400	771	462	501	970	540	zinc finger, matrin type 5 [Source:RefSeq_peptide;Acc:NP_001003692]
NM_206956	175	912	245	697	258	516	323	449	63	847	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]
NM_022081	326	768	180	108	219	535	137	697	358	520	Hermansky-Pudlak syndrome 4 protein (Light-ear protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NQG7]
NM_006739	587	273	424	229	886	642	873	156	469	254	DNA replication licensing factor MCM5 (CDC46 homolog) (P1-CDC46). [Source:Uniprot/SWISSPROT;Acc:P33992]
NM_005569	586	461	935	578	866	614	239	145	431	35	LIM domain kinase 2 (EC 2.7.1.-) (LIMK-2). [Source:Uniprot/SWISSPROT;Acc:P53671]
NM_001024733	905	536	568	255	661	106	103	635	404	709	Testis-specific serine/threonine-protein kinase 2 (EC 2.7.1.37) (TSSK- 2) (Testis-specific kinase 2) (TSK-2) (Serine/threonine-protein kinase 22B) (DiGeorge syndrome protein G). [Source:Uniprot/SWISSPROT;Acc:Q96PF2]
NM_058004	337	178	902	218	617	453	140	118	679	170	Phosphatidylinositol 4-kinase alpha (EC 2.7.1.67) (PI4-kinase) (PtdIns-4-kinase) (PI4K-alpha). [Source:Uniprot/SWISSPROT;Acc:P42356]
